pathway,path,pval,pval_adj,'-log10(pval_adj),relative_enrichment,MiRNA_1,MiRNA_2,MiRNA_3,MiRNA_4,MiRNA_5,MiRNA_6,MiRNA_7,MiRNA_8,MiRNA_9,MiRNA_10,MiRNA_11,MiRNA_12,MiRNA_13,MiRNA_14,MiRNA_15,MiRNA_16,MiRNA_17,MiRNA_18
FGFR1 mutant receptor activation,FGFR,3.32872852727026E-006,0.0004396948,3.3568486929,4.3500597372,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
Interleukin-1 family signaling,Interleukin,4.37924132645481E-006,0.0004545027,3.3424635429,3.3434343434,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,
Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,,0.000004071,0.0004545027,3.3424635429,4.9037037037,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
Neurodegenerative Diseases,,0.000004071,0.0004545027,3.3424635429,4.9037037037,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
Signaling by TGFB family members,,6.12818033063228E-006,0.0005565154,3.2545228318,2.6522435897,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
Processing of DNA double-strand break ends,,5.84472957465615E-006,0.0005565154,3.2545228318,5.5166666667,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Defective Intrinsic Pathway for Apoptosis,,7.93540257416827E-006,0.0006782435,3.1686143431,4.0055005501,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
Signaling by SCF-KIT,,8.53845527470091E-006,0.0006892431,3.1616275829,3.1662987491,hsa-miR-424-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,
SUMOylation of chromatin organization proteins,,1.03218008690245E-005,0.0007498788,3.1250089051,5.171875,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,
SUMOylation of DNA methylation proteins,,1.03218008690245E-005,0.0007498788,3.1250089051,5.171875,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-195-5p,,,,,,,,,
Inactivation of CSF3 (G-CSF) signaling,,0.000013505,0.0008971802,3.0471203381,5.0151515152,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,
TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,,1.35842832434571E-005,0.0008971802,3.0471203381,4.3267973856,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p,,,,,,,,
Regulation of TP53 Activity,,2.10915115418893E-005,0.001056874,2.9759768039,2.6678180771,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,
SUMOylation,,1.9713280024015E-005,0.001056874,2.9759768039,2.681712963,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
PTK6 Activates STAT3,JAK/STAT,1.94797576780701E-005,0.001056874,2.9759768039,6.957957958,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-21-3p,,,,,,,,,,,
BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,,1.92217290649083E-005,0.001056874,2.9759768039,3.6777777778,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
SARS-CoV Infections,,1.7241557263122E-005,0.001056874,2.9759768039,2.9881944444,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Signaling by PDGFR in disease,,2.10938367047132E-005,0.001056874,2.9759768039,3.6446446446,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
SUMO E3 ligases SUMOylate target proteins,,1.84173369625119E-005,0.001056874,2.9759768039,2.695753345,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
DNA Double-Strand Break Repair,,2.77123309336535E-005,0.0011559478,2.9370617695,3.5487329435,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,
Toll Like Receptor 4 (TLR4) Cascade,,2.49683751421427E-005,0.0011559478,2.9370617695,2.8976430976,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA),,2.86401387057785E-005,0.0011559478,2.9370617695,4.5972222222,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Intrinsic Pathway for Apoptosis,,2.75237447647641E-005,0.0011559478,2.9370617695,2.6136491822,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,
MAPK family signaling cascades,,2.71684773151292E-005,0.0011559478,2.9370617695,2.1794238683,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,
Metabolism of water-soluble vitamins and cofactors,,2.82235623032102E-005,0.0011559478,2.9370617695,6.6011396011,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
TP53 Regulates Transcription of Cell Death Genes,Cell death,2.5327251358537E-005,0.0011559478,2.9370617695,3.5801376598,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,
Transcriptional Regulation by MECP2,,3.09804507989384E-005,0.0011845946,2.9264302494,2.8458994709,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,
Toll-like Receptor Cascades,,3.09804507989384E-005,0.0011845946,2.9264302494,2.8458994709,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
RAF/MAP kinase cascade,,3.23833359067514E-005,0.0012064868,2.918477408,2.3575498575,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
Ion channel transport,,3.36893400206289E-005,0.0012237653,2.9123018739,6.4361111111,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-16-5p, hsa-miR-93-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,,,
TCR signaling,,4.46496897624442E-005,0.0012730632,2.8951500299,3.0436781609,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,
Fatty acid metabolism,,3.60553628633192E-005,0.0012730632,2.8951500299,5.253968254,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,,,
Interleukin-12 family signaling,Interleukin,0.000038708,0.0012730632,2.8951500299,3.8713450292,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
MAPK1/MAPK3 signaling,,4.34963492639029E-005,0.0012730632,2.8951500299,2.3082287308,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
NR1H2 & NR1H3 regulate gene expression linked to lipogenesis,,0.000041577,0.0012730632,2.8951500299,10.8169934641,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-130b-3p, hsa-miR-140-3p, hsa-miR-195-5p,,,,,,,,,,,,,
Homology Directed Repair,,4.0576366789317E-005,0.0012730632,2.8951500299,4.4133333333,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,,,,
Extra-nuclear estrogen signaling,,4.34963492639029E-005,0.0012730632,2.8951500299,2.3082287308,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,
ESR-mediated signaling,,4.46842560623488E-005,0.0012730632,2.8951500299,2.1091198726,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p,,
Interleukin-10 signaling,Interleukin,4.26674623684664E-005,0.0012730632,2.8951500299,3.8310185185,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,,
PI-3K cascade:FGFR1,FGFR,4.13375948299679E-005,0.0012730632,2.8951500299,5.1617933723,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-376a-3p, hsa-miR-195-5p,,,,,,,,,,
Advanced glycosylation endproduct receptor signaling,,4.00059471425362E-005,0.0012730632,2.8951500299,6.2791327913,hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-132-3p,,,,,,,,,,,
Constitutive Signaling by Aberrant PI3K in Cancer,,4.70483504179174E-005,0.001289835,2.8894658543,2.7477650064,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,
Signaling by FGFR1 in disease,FGFR,4.66450519087834E-005,0.001289835,2.8894658543,3.3712962963,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
Signaling by PDGF,,4.81418643587574E-005,0.0012903631,2.8892880765,3.0228310502,hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,
Apoptosis,,4.88437498900763E-005,0.0012903631,2.8892880765,2.2890733057,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
Signaling by Interleukins,Interleukin,0.000051238,0.00129955,2.8862070227,1.7150259067,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-93-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-140-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p
Signaling by NOTCH1,NOTCH,5.18746711408533E-005,0.00129955,2.8862070227,3.0022675737,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,
FOXO-mediated transcription of cell death genes,Cell death,5.07185916201848E-005,0.00129955,2.8862070227,4.2987012987,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-30b-5p, hsa-miR-153-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,,,,,
TP53 Regulates Metabolic Genes,,5.38696497001432E-005,0.0013266543,2.8772422459,2.716540404,hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-21-3p,,,,,
Regulation of IFNG signaling,,5.56036665078093E-005,0.0013465355,2.8707822062,5.9870801034,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-19a-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p,,,,,,,,,,,
Negative regulation of the PI3K/AKT network,,5.7997375789661E-005,0.0013814785,2.8596558773,2.2609289617,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
Death Receptor Signalling,Cell death,0.00006012,0.0014089414,2.851107081,2.9619686801,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,
Ub-specific processing proteases,,6.49425477782542E-005,0.0014743988,2.8313850371,2.2425474255,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,
DNA Repair,,6.46632256041322E-005,0.0014743988,2.8313850371,2.9422222222,hsa-miR-424-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p,,,,,,
Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,,0.000066653,0.001489952,2.8268277193,27.5833333333,hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-195-5p,,,,,,,,,,,,,,,
RHO GTPases Activate Formins,,6.82136548388708E-005,0.0015017339,2.8234070019,3.6413641364,hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-101-3p, hsa-miR-130b-3p, hsa-miR-195-5p,,,,,,,,
PI3K/AKT Signaling in Cancer,,7.21456573831174E-005,0.0015154786,2.8194501827,2.0432098765,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-30c-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-30b-5p, hsa-miR-101-3p, hsa-miR-153-3p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-132-3p, hsa-miR-195-5p, hsa-miR-21-3p,,
Signaling by FGFR in disease,FGFR,0.000076139,0.0015154786,2.8194501827,3.2107583774,hsa-miR-424-5p, hsa-miR-296-5p, hsa-miR-29b-3p, hsa-miR-92a-3p, hsa-miR-19a-3p, hsa-miR-214-3p, hsa-miR-16-5p, hsa-miR-130b-3p, hsa-miR-376a-3p, hsa-miR-195-5p, hsa-miR-21-3p,,,,,,,
